SL,District,Division,2008,2009,2010,2011,2012,2013,2014
40,KUSHTIA,KHULNA,0.562,0.586,0.659,0.744,0.77,0.791,0.821
41,MAGURA,KHULNA,0.475,0.47,0.509,0.553,0.572,0.602,0.632
42,MEHERPUR,KHULNA,0.453,0.462,0.503,0.546,0.564,0.573,0.607
43,NARAIL,KHULNA,0.504,0.503,0.539,0.624,0.648,0.662,0.682
44,SATKHIRA,KHULNA,0.386,0.389,0.434,0.517,0.566,0.596,0.651
45,BOGRA,RAJSHAHI,0.545,0.572,0.632,0.71,0.745,0.753,0.771
46,CHAPAI,RAJSHAHI,0.4,0.411,0.45,0.494,0.538,0.558,0.618
47,JOYPURHAT,RAJSHAHI,0.543,0.54,0.593,0.681,0.705,0.73,0.762
48,NAOGAON,RAJSHAHI,0.44,0.446,0.495,0.568,0.598,0.614,0.653
49,NATORE,RAJSHAHI,0.452,0.452,0.49,0.539,0.567,0.589,0.63
50,PABNA,RAJSHAHI,0.496,0.506,0.552,0.605,0.655,0.696,0.742
51,RAJSHAHI,RAJSHAHI,0.596,0.622,0.68,0.761,0.772,0.795,0.827
52,SIRAJGANJ,RAJSHAHI,0.374,0.391,0.435,0.477,0.502,0.525,0.548
53,DINAJPUR,RANGPUR,0.448,0.459,0.513,0.582,0.621,0.648,0.684
54,GAIBANDAH,RANGPUR,0.4,0.408,0.453,0.501,0.503,0.502,0.515
55,KURIGRAM,RANGPUR,0.359,0.362,0.411,0.438,0.44,0.434,0.438
56,LALMONIRHAT,RANGPUR,0.417,0.422,0.449,0.484,0.497,0.504,0.529
57,NILPHAMARI,RANGPUR,0.457,0.462,0.501,0.537,0.567,0.581,0.61
58,PANCHAGARH,RANGPUR,0.448,0.451,0.504,0.515,0.539,0.553,0.56
59,RANGPUR,RANGPUR,0.439,0.459,0.516,0.569,0.602,0.634,0.665
60,THAKURGAON,RANGPUR,0.422,0.427,0.473,0.524,0.544,0.554,0.558
61,HABIGANJ,SYLHET,0.443,0.452,0.504,0.525,0.551,0.576,0.612
62,MOULVIBAZAR,SYLHET,0.642,0.671,0.708,0.748,0.787,0.804,0.827
63,SUNAMGANJ,SYLHET,0.393,0.397,0.429,0.43,0.453,0.456,0.478
64,SYLHET,SYLHET,0.83,0.878,0.899,0.883,0.887,0.894,0.898
